$-\inf – 500$	500	0	1,31
500-505 	505	1	2,41
505-510 	510	2	4,12
510-515 	515	7	6,54
515-520 	520	6	9,63
520-525 	525	13	13,15
525-530 	530	23	16,68
530-535 	535	20	19,63
535-540 	540	29	21,43
540-545 	545	21	21,72
545-550 	550	14	20,43
550-555 	555	11	17,83
555-560 	560	15	14,44
560-565 	565	12	10,86
565-570 	570	12	7,58
570-575 	575	7	4,90
575-580 	580	2	2,95
580-585 	585	1	1,64
585-590 	590	1	0,85
590-595 	595	1	0,41
595-600 	600	1	0,18
600-605 	605	0	0,08
605-610 	610	0	0,03
610-615 	615	0	0,01
$-615-\inf$	620	0	0
